,校碼,序號,學校名稱,系組名稱,學測檢定標準,,,,,,英聽檢定標準,採計科目及加權,,,,,,,,,,,,,,,,,,,,,,,
dep_id,,,,,國文,英文,數學A,數學B,社會,自然,,數學甲,物理,化學,生物,歷史,地理,公民,國文,英文,數學A,數學B,社會,自然,,,,,,,,,,,
00164,001,61,國立臺灣大學            ,公共衛生學系B組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.25 ,0.00 ,1.25 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00131,001,62,國立臺灣大學            ,電機工程學系,,,,,,,,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00127,001,63,國立臺灣大學            ,資訊工程學系,,,,,,,,2.00 ,1.50 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00112,001,64,國立臺灣大學            ,法律學系法學組,頂標,頂標,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.25 ,1.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00111,001,65,國立臺灣大學            ,法律學系司法組,頂標,頂標,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.25 ,1.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00113,001,66,國立臺灣大學            ,法律學系財經法學組,頂標,頂標,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.25 ,1.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00141,001,67,國立臺灣大學            ,生命科學系,,,,,,,,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00149,001,68,國立臺灣大學            ,生化科技學系,均標,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00144,001,69,國立臺灣大學            ,國際體育運動事務學士學位學程,均標,均標,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.25 ,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00206,002,1,國立臺灣師範大學        ,教育學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,1.50 ,1.50 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
